net,length_um
net585,305.04µm
_08872_,304.87µm
net231,304.51µm
net1420,304.345µm
_09789_,304.27µm
net1858,303.89µm
_10871_,303.74µm
net1975,302.61µm
net2051,302.4µm
net731,301.88µm
net594,301.86µm
net206,301.66µm
net543,301.65µm
net2852,301.51µm
net1713,301.32µm
net896,301.095µm
net1267,300.67µm
_09649_,300.37µm
net183,300.05µm
net554,300µm
net869,299.51µm
_09714_,299.44µm
net2037,299.3µm
_04657_,299.24µm
net1440,298.83µm
_09727_,297.48µm
net2842,297.3µm
net961,297.18µm
net473,297.09µm
net305,297µm
net2820,296.8µm
net493,296.76µm
net453,296.415µm
_09943_,296.21µm
net1934,296.01µm
net1938,295.97µm
net1544,295.695µm
net399,295.54µm
net2089,295.32µm
net1006,295.27µm
net2201,295.21µm
_10786_,294.97µm
net4,294.615µm
net845,294.32µm
net2157,294.01µm
_04272_,293.6µm
net173,293.52µm
net1207,293.185µm
net1205,292.9µm
net777,292.79µm
net377,292.765µm
net809,292.68µm
net2170,292.52µm
net1303,292.265µm
_09597_,292.14µm
net702,292.12µm
net776,291.93µm
_10442_,291.74µm
net2063,291.495µm
net975,291.375µm
net1036,291.16µm
_09524_,290.86µm
net775,290.76µm
net1058,290.73µm
net1097,290.245µm
net1651,289.76µm
net652,289.69µm
net1194,289.49µm
_04632_,289.36µm
net1458,289.25µm
net1138,288.82µm
net1376,288.62µm
net2087,288.61µm
net1436,288.515µm
net182,288.42µm
net528,288.245µm
net984,287.845µm
net1608,287.585µm
net1148,287.37µm
net1404,287.195µm
net599,287µm
_09590_,286.97µm
net2169,286.52µm
net132,286.36µm
net1726,286.11µm
net2847,286.06µm
net1313,285.99µm
net1686,285.915µm
net92,284.88µm
net1542,284.55µm
net38,284.475µm
net1889,284.42µm
net897,283.955µm
net1488,283.82µm
net673,283.11µm
net104,283.03µm
net293,282.89µm
net565,282.715µm
net735,282.18µm
net1509,281.84µm
net1729,281.72µm
net588,281.35µm
net1094,280.94µm
net1768,280.805µm
net213,280.16µm
net1661,280.14µm
net229,279.98µm
net1384,279.415µm
_04280_,279.4µm
_04756_,279.39µm
net1902,279.37µm
net2117,279.19µm
net763,279.1µm
net359,278.78µm
net352,278.68µm
net998,278.2µm
_04529_,277.71µm
net142,277.25µm
net363,276.765µm
net188,276.59µm
net778,276.5µm
net1104,276.305µm
net1762,276.165µm
net25,276.06µm
net814,275.805µm
net749,275.69µm
net2150,275.69µm
net1397,275.395µm
net2135,275.35µm
net2142,275.32µm
net714,275.29µm
net194,275.21µm
net1335,274.91µm
_10572_,274.88µm
_09571_,274.42µm
net2194,274.22µm
net1699,274.14µm
net820,273.95µm
net500,273.87µm
net1991,273.84µm
net354,273.76µm
net311,273.6µm
net1137,273.555µm
net753,273.315µm
net1135,273.08µm
net428,272.98µm
net997,272.7µm
_06424_,272.56µm
net843,272.52µm
net1147,272.09µm
net1400,272.045µm
net1580,272.015µm
net1223,271.39µm
net247,271.08µm
net948,271.01µm
net1169,270.16µm
_09625_,269.96µm
net1209,269.37µm
net230,269.25µm
net417,269.08µm
net181,268.78µm
net2139,268.64µm
net1952,268.36µm
net1863,268.34µm
net1449,268.295µm
net598,268.22µm
net1746,267.26µm
net626,267.1µm
net338,266.86µm
net1877,266.245µm
net187,265.96µm
net932,265.94µm
net2223,265.67µm
net678,265.56µm
net1984,265.47µm
net105,265.45µm
_04708_,265.34µm
net115,265.32µm
net1946,265.26µm
net2019,264.27µm
net2103,263.74µm
_10406_,263.73µm
net1214,263.53µm
net645,263.48µm
net1685,263.45µm
net1446,263.315µm
net2832,263.17µm
net2143,262.68µm
net1839,262.635µm
net792,262.36µm
net1237,262.22µm
net824,262.08µm
net653,261.96µm
_09580_,261.64µm
net550,261.06µm
net957,260.525µm
net584,260.375µm
net489,260.34µm
net1582,260.295µm
net1894,260.095µm
net2824,260.06µm
net1799,260.02µm
net1885,260µm
_09760_,259.99µm
net70,259.915µm
_05668_,259.77µm
net381,259.595µm
net772,259.47µm
net921,258.88µm
net1870,258.88µm
net568,258.685µm
_09724_,258.68µm
_05252_,258.18µm
net973,258.13µm
net1993,258.04µm
net347,257.94µm
net1811,257.81µm
net866,257.7µm
net2224,257.6µm
net844,257.55µm
net1226,257.275µm
net1639,257.23µm
net904,257.205µm
net628,256.98µm
net349,256.62µm
net2203,255.84µm
net577,255.055µm
net276,254.87µm
net2155,254.735µm
net953,254.73µm
net1922,254.105µm
net2102,254.02µm
net1869,253.84µm
net1116,253.76µm
net455,253.59µm
net1521,253.55µm
_10798_,253.4µm
net2228,253.185µm
net891,253.16µm
net2002,253.055µm
net831,252.86µm
net2828,252.78µm
net559,252.44µm
net2501,251.88µm
net798,251.785µm
net263,251.585µm
net465,251.535µm
net57,251.5µm
net208,251.5µm
net322,251.28µm
net205,251.2µm
_09620_,250.52µm
net355,249.99µm
net727,249.725µm
net532,249.69µm
net425,249.37µm
net805,249.32µm
net2305,249.14µm
net901,249.05µm
net125,248.99µm
net969,248.64µm
net386,248.38µm
net926,247.665µm
net524,247.61µm
net990,247.49µm
_10049_,247.43µm
_09691_,247.09µm
net1701,246.99µm
net1645,246.93µm
clknet_6_27_0_clk,246.86µm
net2830,246.23µm
net868,246µm
net925,245.81µm
_05243_,245.68µm
net2069,245.48µm
clknet_6_45_0_clk,245.19µm
net516,245.12µm
net176,244.905µm
net1705,244.655µm
clknet_6_19_0_clk,244.085µm
net2122,244.06µm
net1478,244.03µm
net523,243.78µm
net1019,243.71µm
_09748_,243.64µm
net713,243.15µm
clknet_6_44_0_clk,243.05µm
_10850_,242.88µm
net196,242.63µm
net922,242.6µm
net1708,242.555µm
net1879,242.54µm
net2126,241.875µm
clknet_6_12_0_clk,241.78µm
net864,241.58µm
net1687,241.545µm
_10433_,240.55µm
net335,240.39µm
net1769,240.14µm
net1920,240.14µm
net2168,239.91µm
net2112,239.76µm
net663,239.72µm
net1814,239.3µm
clknet_6_9_0_clk,239.12µm
net375,238.74µm
net1807,238.66µm
_09574_,238.42µm
net2098,238.26µm
net658,238.2µm
net1145,238.135µm
net1689,237.95µm
net741,237.76µm
net690,237.74µm
net108,237.54µm
_04514_,237.38µm
net1004,237.38µm
net1747,237.12µm
_10996_,236.8µm
_09181_,236.64µm
net2124,236.64µm
clknet_6_28_0_clk,236.4µm
net1734,236.26µm
net199,236.22µm
net853,236.04µm
net1695,235.98µm
net1958,235.925µm
net1141,235.79µm
net2042,235.66µm
net860,235.375µm
_10133_,235.08µm
net222,234.84µm
_10750_,234.18µm
clknet_6_47_0_clk,234.16µm
net746,233.905µm
net1079,233.9µm
clknet_6_15_0_clk,233.81µm
net939,233.73µm
net2036,233.59µm
clknet_6_2_0_clk,233.54µm
net2524,233.26µm
net2129,233.02µm
net1648,232.795µm
net1773,232.605µm
_04139_,232.52µm
net480,232.44µm
net762,232.24µm
net1193,232.24µm
net1261,232µm
net634,231.72µm
net531,231.66µm
net970,231.46µm
net190,231.12µm
net267,231.08µm
net1998,230.68µm
net786,230.665µm
net257,229.945µm
net956,229.89µm
net401,229.86µm
_10102_,229.7µm
_06530_,229.62µm
net278,229.165µm
net423,228.84µm
net2162,228.72µm
net1778,228.42µm
_09703_,228.37µm
net672,228.28µm
net1766,228.28µm
net2011,228.1µm
_05179_,227.96µm
net1173,227.34µm
net2352,227.24µm
net2032,227.2µm
clknet_6_55_0_clk,227.12µm
net724,227.1µm
net219,227.05µm
net1848,226.88µm
net472,226.82µm
clknet_6_46_0_clk,226.75µm
_09975_,226.74µm
net1134,226.72µm
net1372,226.61µm
net760,226.42µm
net795,226.4µm
net2515,226.39µm
net2105,226.32µm
net434,226.31µm
net1590,226.095µm
_08222_,225.73µm
net855,225.56µm
net1977,225.18µm
net1707,225.07µm
net1792,224.76µm
net706,224.75µm
_06355_,224.53µm
net597,224.395µm
net1115,224.28µm
net1992,224.205µm
net1614,224.11µm
net1924,223.835µm
net360,223.49µm
_10058_,223.48µm
net630,223.32µm
net566,222.94µm
net241,222.92µm
net1797,222.88µm
net1009,222.7µm
net406,222.63µm
net279,222.62µm
net662,222.62µm
net949,222.44µm
_10845_,222.22µm
net2314,222.025µm
net852,221.96µm
net2146,221.76µm
net1523,221.66µm
_04963_,221.51µm
net668,221.39µm
net613,221.12µm
net2227,220.805µm
net2200,220.76µm
net941,220.49µm
_04228_,220.26µm
_04870_,220.26µm
net1857,220.145µm
net1880,220.06µm
clknet_6_14_0_clk,219.69µm
net2113,219.5µm
net210,219.405µm
net2099,219.18µm
clknet_6_36_0_clk,219.145µm
net1218,218.72µm
net1918,218.68µm
net398,218.5µm
net712,218.5µm
net745,218.38µm
net2119,218.36µm
clknet_6_37_0_clk,218.19µm
net1697,218µm
net2551,217.695µm
net1363,217.62µm
net2705,217.53µm
clknet_6_17_0_clk,217.08µm
net960,216.94µm
net1966,216.94µm
net770,216.82µm
net1853,216.74µm
_04204_,216.63µm
_09560_,216.535µm
clknet_6_13_0_clk,216.42µm
net1989,216.4µm
net1089,216.3µm
net1727,215.99µm
net2151,215.98µm
net2196,215.88µm
net605,215.65µm
net286,215.615µm
net203,215.09µm
net2000,215.08µm
_08084_,215.03µm
clknet_6_6_0_clk,215µm
net1774,214.995µm
net342,214.92µm
net1812,214.8µm
net681,214.76µm
net633,214.59µm
net405,214.56µm
net1144,214.5µm
net784,214.49µm
net579,214.4µm
net2054,214.285µm
net1506,213.94µm
net1806,213.785µm
net1981,213.64µm
clknet_6_48_0_clk,213.36µm
net403,213.34µm
clknet_6_30_0_clk,213.3µm
net1862,213.28µm
net326,213.24µm
net2101,213.1µm
clknet_6_11_0_clk,212.895µm
net1801,212.7µm
net954,212.33µm
_04531_,212.12µm
net1696,212.02µm
net482,211.78µm
net1014,211.74µm
net2222,211.42µm
clknet_6_1_0_clk,211.42µm
net2380,211.34µm
net625,211.215µm
net593,211.18µm
net863,210.915µm
net255,210.76µm
net898,210.58µm
clknet_6_34_0_clk,210.5µm
net1767,210.43µm
_04456_,210.32µm
clknet_6_57_0_clk,210.22µm
net669,210.19µm
net1974,209.95µm
clknet_6_31_0_clk,209.81µm
clknet_6_5_0_clk,209.185µm
net2714,209.1µm
net1429,208.94µm
clknet_6_10_0_clk,208.515µm
net440,207.95µm
net890,207.515µm
net710,207.32µm
net289,207.04µm
clknet_6_54_0_clk,207.02µm
clknet_6_8_0_clk,206.87µm
net410,206.81µm
clknet_6_56_0_clk,206.78µm
_09841_,206.66µm
net1951,206.62µm
net1407,206.54µm
net1972,206.43µm
net862,206.38µm
net657,205.86µm
net2570,205.65µm
net2761,205.65µm
clknet_6_4_0_clk,205.535µm
net2533,205.29µm
clknet_6_3_0_clk,204.925µm
net1758,204.68µm
net2138,204.43µm
net448,204.39µm
net847,204.12µm
_09767_,204.11µm
net2389,203.955µm
clknet_6_53_0_clk,203.91µm
_09080_,203.82µm
net454,203.615µm
net1552,203.27µm
clknet_6_39_0_clk,203.23µm
net1712,203.2µm
net2015,203.14µm
net2163,202.87µm
net1032,202.72µm
clknet_6_58_0_clk,202.53µm
net2230,202.49µm
net201,202.43µm
net1742,202.34µm
net1931,201.92µm
net204,201.91µm
net2085,201.84µm
net1999,201.56µm
clknet_6_22_0_clk,201.45µm
net2606,201.22µm
_09576_,201.21µm
net1750,201.085µm
clknet_6_24_0_clk,200.94µm
net1815,200.84µm
clknet_6_7_0_clk,200.56µm
net546,200.2µm
net2434,200.09µm
clknet_6_25_0_clk,199.9µm
net2213,199.84µm
net111,199.76µm
net385,199.615µm
net1882,199.6µm
net1326,199.56µm
_08083_,199.41µm
net452,199.36µm
net2067,199.315µm
net2062,199.23µm
clknet_6_61_0_clk,199.21µm
net2461,199.1µm
net492,199.08µm
net829,198.68µm
net915,198.68µm
net1802,198.54µm
net2064,198.5µm
net797,198.2µm
net2110,198.11µm
net2723,198.075µm
clknet_6_32_0_clk,197.9µm
_09668_,197.6µm
net449,197.435µm
_09457_,197.33µm
net943,197.08µm
_09774_,197.06µm
_09859_,197µm
net919,196.86µm
net479,196.725µm
net2093,196.65µm
net221,196.56µm
_04195_,196.55µm
net623,196.41µm
net2788,196.4µm
net1753,196.39µm
net2106,196.295µm
net1798,196.26µm
net2362,196.115µm
clknet_6_49_0_clk,195.955µm
net266,195.86µm
net1733,195.84µm
_10878_,195.66µm
_06390_,195.64µm
net840,195.63µm
net1513,195.63µm
net683,195.62µm
net1845,195.1µm
net1796,195.01µm
net2482,194.965µm
net1893,194.34µm
_09715_,194.12µm
net2631,194.08µm
_06496_,193.89µm
net2469,193.69µm
net2033,193.61µm
_10669_,193.57µm
net2422,193.465µm
net1764,193.29µm
_05205_,193.17µm
net1157,193.105µm
_05261_,192.71µm
net766,192.56µm
clknet_6_16_0_clk,192.56µm
net260,192.55µm
net578,192.52µm
_04979_,191.79µm
net1757,191.66µm
_10038_,191.55µm
net227,191.42µm
net1710,191.4µm
clknet_6_18_0_clk,191.4µm
net2622,191.3µm
net1781,191.23µm
clknet_6_20_0_clk,191.17µm
_04253_,190.94µm
net1765,190.94µm
net1634,190.92µm
net545,190.9µm
clknet_6_59_0_clk,190.68µm
net649,190.61µm
net433,190.5µm
net339,190.3µm
net402,190.04µm
net911,189.8µm
net726,189.48µm
net1942,189.32µm
clknet_6_42_0_clk,189.14µm
net2588,189.08µm
net1035,188.97µm
net2114,188.87µm
net1725,188.76µm
net1892,188.68µm
net923,188.62µm
net1114,188.59µm
net2082,188.45µm
net1099,188.43µm
net609,188.42µm
net1890,188.42µm
net2242,188.22µm
clknet_6_41_0_clk,188.22µm
net2115,188.14µm
net1943,188.12µm
net924,187.84µm
_04989_,187.67µm
net2191,187.47µm
net2779,187.39µm
clknet_6_29_0_clk,187.135µm
clknet_6_33_0_clk,187.12µm
net2733,186.99µm
net165,186.92µm
net982,186.88µm
_11070_,186.86µm
net2127,186.51µm
net439,186.405µm
net2221,186.195µm
net2193,186.125µm
net936,185.985µm
net2024,185.79µm
net2147,185.61µm
_06461_,185.33µm
net830,185.215µm
_04904_,185.12µm
net1831,184.975µm
net1940,184.86µm
_10004_,184.42µm
net2040,184.055µm
net464,183.915µm
net2406,183.245µm
net2751,183µm
net1963,182.98µm
net2668,182.935µm
net780,182.595µm
net1833,182.24µm
net211,182.195µm
net427,182.155µm
net783,182µm
net806,181.54µm
net120,181.375µm
net2510,181.185µm
net1925,180.98µm
net498,180.895µm
_10060_,180.83µm
net1955,180.76µm
_10517_,180.6µm
net675,180.25µm
net2796,180.25µm
net1489,180.205µm
net2175,180.195µm
net2164,180.14µm
net1131,180.04µm
net2694,179.81µm
net2088,179.61µm
net2072,179.57µm
net1691,179.495µm
net835,179.33µm
net1008,179.33µm
net2035,179.3µm
net1721,179.06µm
_10175_,178.98µm
_10827_,178.7µm
_10836_,178.43µm
net285,178.32µm
clknet_6_35_0_clk,178.26µm
net861,178.215µm
net113,178.175µm
net1711,178.12µm
net931,177.92µm
clknet_6_40_0_clk,177.87µm
_10900_,177.82µm
net2415,177.73µm
net1085,177.67µm
net2542,177.62µm
net1871,177.48µm
net384,177.28µm
net1724,177.15µm
net2220,177.01µm
_10925_,176.65µm
net246,176.495µm
net2371,176.4µm
_07114_,176.34µm
net2111,176.22µm
_09593_,176.06µm
_09319_,175.93µm
net894,175.855µm
net2068,175.49µm
net277,175.365µm
net807,175.16µm
net622,175.12µm
net341,175.07µm
net1834,175.02µm
clknet_6_62_0_clk,174.92µm
net508,174.815µm
net1861,174.195µm
net1795,174.16µm
net1808,174.02µm
net1066,173.99µm
net2180,173.925µm
net612,173.885µm
clknet_6_23_0_clk,173.855µm
net324,173.76µm
net2597,173.68µm
net1754,173.44µm
net522,173.425µm
net1088,173.33µm
net870,173.26µm
net217,173.25µm
net394,173.235µm
net945,173.14µm
net168,173.08µm
net1005,173.07µm
net2274,173.06µm
net1927,172.98µm
net1728,172.86µm
net987,172.7µm
net2770,172.64µm
net2187,172.36µm
net2192,172.33µm
net2083,172.28µm
net1067,172.14µm
net1939,172.08µm
_05180_,171.755µm
net643,171.74µm
_07046_,171.6µm
net2049,171.315µm
net2077,171.265µm
net1916,171.02µm
_10430_,170.97µm
net469,170.53µm
net1976,170.485µm
net800,170.28µm
net1063,170.22µm
net2219,170.22µm
net1891,170.075µm
net2061,169.67µm
net490,169.52µm
net507,169.08µm
_11222_,169.02µm
clknet_6_38_0_clk,168.88µm
net1832,168.875µm
net899,168.84µm
net1025,168.79µm
net1146,168.43µm
net484,168.31µm
net450,168.24µm
clknet_6_0_0_clk,168.05µm
net927,167.605µm
net291,167.26µm
net2233,167.095µm
net1856,167.08µm
net2696,166.98µm
net2004,166.96µm
net2423,166.96µm
net794,166.935µm
net816,166.84µm
_08528_,166.63µm
net1932,166.63µm
net2443,166.6µm
net378,166.46µm
net248,166.075µm
clknet_6_51_0_clk,166.05µm
net2452,165.89µm
_09622_,165.83µm
net1039,165.825µm
net624,165.535µm
_09899_,165.38µm
net2055,165.37µm
net169,165.245µm
net849,165.24µm
_05256_,164.95µm
net2181,164.92µm
net1704,164.825µm
_04381_,164.8µm
_10548_,164.7µm
net2031,164.63µm
net2084,164.5µm
net999,164.42µm
_10640_,164.14µm
net483,163.96µm
net1027,163.4µm
net149,163.355µm
_10726_,163.34µm
net583,163.315µm
net525,163.075µm
net2195,162.96µm
net2023,162.95µm
net302,162.92µm
net2766,162.86µm
net1846,162.825µm
_04727_,162.69µm
net2225,162.3µm
net2677,162.29µm
_10882_,162.22µm
net2198,162.175µm
net600,161.575µm
net640,161.24µm
net407,161.11µm
net1791,161.08µm
_09578_,160.96µm
net2579,160.775µm
net2210,160.77µm
_10184_,160.66µm
net2324,160.65µm
net393,160.52µm
net1024,160.32µm
net1782,160.16µm
_10916_,160.14µm
net900,159.995µm
net191,159.94µm
_10208_,159.82µm
net2028,159.65µm
net496,159.64µm
_09744_,159.53µm
net1851,159.4µm
net7,159.38µm
_05250_,159.22µm
_11130_,159.02µm
net1837,159.01µm
clknet_6_52_0_clk,158.95µm
net380,158.91µm
net1,158.82µm
net6,158.44µm
net908,158.135µm
net940,158.12µm
net1630,158.1µm
net871,157.865µm
_04489_,157.695µm
net1926,157.64µm
_09689_,157.61µm
_10342_,157.6µm
net1875,157.52µm
net848,157.48µm
net1823,157.45µm
net2464,157.25µm
net2473,156.905µm
net2012,156.58µm
net654,156.495µm
net282,156.48µm
net228,156.44µm
_04671_,156.43µm
clknet_6_43_0_clk,156.38µm
net1057,156.31µm
net1717,156.1µm
net2029,155.84µm
net1983,155.81µm
net1693,155.75µm
net2647,155.65µm
net944,155.61µm
net719,155.42µm
_07460_,155.18µm
net1895,155.14µm
_06216_,155.03µm
net1759,154.895µm
net2009,154.82µm
net2,154.37µm
net604,154.28µm
_11135_,154.24µm
net1793,154.08µm
net952,154.015µm
net937,153.92µm
_10333_,153.61µm
net1843,153.605µm
net287,153.6µm
net2092,153.43µm
net2439,153.3µm
_04296_,153.24µm
net2805,153.04µm
net2107,152.7µm
net475,152.64µm
net761,152.615µm
net709,152.34µm
net670,152.24µm
net112,152.18µm
net1909,152.18µm
net517,152.14µm
_08389_,151.9µm
net2096,151.7µm
_11050_,151.67µm
_09777_,151.49µm
net2560,151.295µm
net1835,151.06µm
net1914,151.02µm
_09183_,150.57µm
net1130,150.3µm
net1771,150.3µm
net1745,150.19µm
net1965,150.09µm
net1760,150.03µm
net529,149.92µm
net2618,149.85µm
net2182,149.51µm
net2128,149.42µm
net477,149.165µm
_05192_,149µm
clknet_leaf_359_clk,148.66µm
_09790_,148.38µm
_10085_,148.11µm
_09148_,148.09µm
_10359_,148.04µm
net2312,147.895µm
net2027,147.79µm
net2208,147.56µm
net1100,147.42µm
net2043,147.4µm
net2041,147.36µm
net1941,146.94µm
clknet_leaf_182_clk,146.81µm
net2094,146.745µm
_10241_,146.56µm
net2076,146.365µm
net1741,146.325µm
_06737_,146.26µm
net2132,146.19µm
_09816_,145.98µm
net5,145.96µm
net689,145.76µm
net521,145.73µm
_11145_,145.7µm
clknet_leaf_389_clk,145.45µm
net2116,145.36µm
_10118_,145.16µm
_06771_,145.08µm
_04829_,144.77µm
_08459_,144.74µm
net1756,144.62µm
net1723,144.59µm
clknet_6_60_0_clk,144.56µm
net2176,144.09µm
net1921,144.05µm
net397,143.975µm
_09609_,143.67µm
net1907,143.23µm
_08187_,143.105µm
net2204,143.08µm
net1111,142.755µm
net2837,142.67µm
net2209,142.1µm
net1805,142.04µm
_04927_,141.84µm
_08835_,141.82µm
clknet_6_50_0_clk,141.76µm
net3,141.26µm
net505,141.11µm
net265,140.98µm
net2148,140.8µm
net252,140.72µm
net2343,140.64µm
_08735_,140.46µm
net1730,140.22µm
net1878,140.02µm
net1948,140.02µm
net1996,139.91µm
net547,139.89µm
_10367_,139.78µm
_10930_,139.14µm
net1959,138.83µm
net1763,138.795µm
_09865_,138.74µm
_10263_,138.6µm
net2039,138.42µm
_10956_,138.41µm
net2217,138.21µm
net567,137.92µm
_10420_,137.63µm
_10294_,137.32µm
net994,137.29µm
_05041_,137.2µm
net2159,137.12µm
net2356,137µm
_10248_,136.8µm
net1827,136.74µm
_11091_,136.64µm
net2276,136.62µm
net274,136.32µm
net2613,136.25µm
clknet_leaf_101_clk,136.03µm
net769,135.48µm
net856,135.34µm
_10863_,135.2µm
_04950_,135.16µm
net718,134.53µm
net2030,134.26µm
net2038,134.2µm
_10125_,134.09µm
net2097,134.04µm
net2811,133.72µm
net1964,133.715µm
_05032_,133.62µm
net2003,133.42µm
_10735_,133.345µm
_10221_,133.155µm
_10253_,132.84µm
net2836,132.715µm
net1912,132.59µm
clknet_leaf_174_clk,132.36µm
net2808,132.18µm
net2394,131.94µm
clknet_leaf_104_clk,131.85µm
net1779,131.7µm
_10618_,131.62µm
_05567_,131.61µm
net2595,131.44µm
net2659,130.62µm
net1929,130.375µm
net1703,130.37µm
_04742_,130.26µm
net186,130.22µm
clknet_6_63_0_clk,130.02µm
_07980_,129.45µm
_07671_,129.42µm
_10949_,129.34µm
net1873,129.08µm
_09633_,128.88µm
_05144_,128.7µm
net2525,128.57µm
net2763,128.37µm
net1982,128.3µm
net2081,128.19µm
net2715,128.15µm
_05158_,127.88µm
_09781_,127.88µm
net1898,127.86µm
net1956,127.64µm
clknet_leaf_53_clk,127.62µm
_09842_,127.615µm
net2178,127.6µm
net2047,127.51µm
net2008,127.42µm
net2013,127.14µm
